iter	Passed	Remaining
0	1	175
1	3	157
2	4	147
3	5	139
4	6	132
5	8	127
6	9	126
7	10	124
8	11	121
9	13	121
10	15	121
11	15	115
12	16	112
13	18	110
14	19	109
15	20	107
16	21	106
17	22	103
18	23	102
19	25	100
20	26	98
21	27	96
22	28	95
23	29	93
24	30	91
25	31	90
26	32	88
27	33	87
28	35	85
29	36	84
30	37	82
31	38	81
32	39	80
33	40	78
34	41	77
35	42	76
36	43	74
37	44	73
38	46	72
39	47	70
40	48	69
41	49	67
42	50	66
43	51	65
44	52	64
45	53	63
46	55	62
47	56	60
48	57	59
49	58	58
50	59	57
51	60	56
52	61	54
53	63	53
54	64	52
55	65	51
56	66	50
57	66	48
58	68	47
59	69	46
60	70	44
61	71	43
62	72	42
63	73	41
64	75	40
65	76	39
66	77	38
67	78	37
68	80	35
69	81	34
70	82	33
71	83	32
72	84	31
73	86	30
74	87	29
75	88	27
76	89	26
77	90	25
78	92	24
79	93	23
80	94	22
81	95	21
82	97	19
83	98	18
84	99	17
85	100	16
86	101	15
87	102	14
88	104	12
89	105	11
90	106	10
91	107	9
92	108	8
93	109	6
94	110	5
95	112	4
96	113	3
97	114	2
98	115	1
99	116	0
